n,z,neutronSeparationEnergy(keV)
86,74,11966
87,74,9249
88,74,11564
89,74,8980.54
90,74,11398.4345
91,74,8697.0792
92,74,11097.4729
93,74,8277.0592
94,74,10871.0363
95,74,8096.2543
96,74,10444.2561
97,74,7866.609
98,74,10082.4138
99,74,7701.5149
100,74,9571.0236
101,74,7477.0248
102,74,9080.1262
103,74,7131.4405
104,74,8776.6529
105,74,6959.4991
106,74,8412.3142
107,74,6669.02
108,74,8083.5172
109,74,6190.8368
110,74,7411.1081
111,74,5753.7364
112,74,7192.0492
113,74,5466.7595
114,74,6835.1547
115,74,5213
116,74,6631
117,74,4878.6619
118,74,6515
119,74,4642
120,74,6291
121,74,4401
122,74,6071
123,74,4202
85,75,10145
86,75,12036
87,75,9681
88,75,11621
89,75,9541.5065
90,75,11258.2303
91,75,9249.2997
92,75,11068
93,75,9032
94,75,10685.6759
95,75,8566.0672
96,75,10417.6067
97,75,8387.8718
98,75,10058.3492
99,75,8190.5493
100,75,9686.5288
101,75,7845.8965
102,75,9277.6029
103,75,7455.6005
104,75,9002.1726
105,75,7324.3695
106,75,8751.3662
107,75,7000.0503
108,75,8434.8368
109,75,6481.4748
110,75,7670.5462
111,75,6179.5909
112,75,7360.5462
113,75,5871.65
114,75,7033.5345
115,75,5675.236
116,75,6838.7114
117,75,5309.7381
118,75,6714.1312
119,75,5100
120,75,6371
121,75,4871
122,75,6062
123,75,4711
124,75,5811
86,76,12375
87,76,9908
88,76,12160
89,76,9393
90,76,11756
91,76,9138.6522
92,76,11567.4525
93,76,8799.3077
94,76,11274.0252
95,76,8442.8644
96,76,11017.7208
97,76,8265.9275
98,76,10628.4512
99,76,8181.2952
100,76,10097.142
101,76,7896.5816
102,76,9659.1133
103,76,7547.2123
104,76,9407.3783
105,76,7265.0883
106,76,9130.4592
107,76,7125.9689
108,76,8660.1235
109,76,6624.6609
110,76,8265.4416
111,76,6290.3015
112,76,7989.6042
113,76,5920.8185
114,76,7792.3416
115,76,5758.7319
116,76,7558.3821
117,76,5583.4158
118,76,7112.0935
119,76,5147.738
120,76,6836.8446
121,76,4874
122,76,6592
123,76,4741
124,76,6351
125,76,4361
126,76,5762
127,76,2811
87,77,10244
88,77,12183
89,77,9782
90,77,11838
91,77,9665.1002
92,77,11498.5037
93,77,9160
94,77,11301
95,77,9038.6614
96,77,10960.4004
97,77,8588.7991
98,77,10679.8921
99,77,8558.7298
100,77,10236.82
101,77,8278.2073
102,77,9898.7236
103,77,7967.1286
104,77,9556.8234
105,77,7659.9654
106,77,9221.774
107,77,7480.0349
108,77,8796.0205
109,77,6908.1108
110,77,8448.3443
111,77,6866.8969
112,77,8176.0148
113,77,6375.2802
114,77,8026.5301
115,77,6198.1225
116,77,7771.9919
117,77,6066.7897
118,77,7231.86
119,77,5814.5215
120,77,6899.9192
121,77,5517
122,77,6760
123,77,5242
124,77,6342
125,77,4872
126,77,5801
127,77,3271
128,77,4101
88,78,12536
89,78,10042
90,78,12328
91,78,9525
92,78,11906
93,78,9238.6846
94,78,11711.4192
95,78,8901.4066
96,78,11452.1672
97,78,8462.3949
98,78,11296.5522
99,78,8507.8361
100,78,10698.3671
101,78,8341.9598
102,78,10233.066
103,78,8022.9401
104,78,9858.2413
105,78,7676.0944
106,78,9630.6078
107,78,7426.9756
108,78,9247.6215
109,78,6892.2322
110,78,9206.9261
111,78,6719.7538
112,78,8908.4165
113,78,6463.1505
114,78,8661.5073
115,78,6262.4697
116,78,8351.7426
117,78,6105.0949
118,78,7921.9778
119,78,5846.5546
120,78,7555.5613
121,78,5556
122,78,7281.7963
123,78,5212.8457
124,78,7022.7404
125,78,4889
126,78,6181
127,78,3271
128,78,4492
129,78,2970
130,78,4432
90,79,12390
91,79,9986
92,79,11930
93,79,9827.0255
94,79,11585.3243
95,79,9298
96,79,11417
97,79,9188.5985
98,79,11096.0874
99,79,8828.6107
100,79,10756.8609
101,79,8708.3926
102,79,10316.8116
103,79,8504.154
104,79,9958.8299
105,79,8198.5445
106,79,9610.7538
107,79,7928.0243
108,79,9385.2424
109,79,7413.8524
110,79,9281.9615
111,79,7322.8999
112,79,9035.6885
113,79,7045.5915
114,79,8703.9634
115,79,6878.4385
116,79,8426.4293
117,79,6642.9748
118,79,8072.3519
119,79,6512.3594
120,79,7584.2775
121,79,6217.6596
122,79,7231.9299
123,79,6023.5944
124,79,6861.7799
125,79,5318
126,79,6251
127,79,3691
128,79,4521
129,79,3341
130,79,4391
131,79,3161
91,80,10148
92,80,12472
93,80,9671
94,80,12051
95,80,9399.7437
96,80,11886.5139
97,80,9062.5022
98,80,11610.841
99,80,8688.896
100,80,11388.9076
101,80,8481.932
102,80,10987.0761
103,80,8299.0882
104,80,10611.4498
105,80,7910.1818
106,80,10426.7261
107,80,7650.7682
108,80,10151.1602
109,80,7499.345
110,80,9815.5649
111,80,7292.5419
112,80,9490.9503
113,80,7122.0021
114,80,9193.1048
115,80,6900.7081
116,80,8883.9201
117,80,6785.605
118,80,8485.4026
119,80,6663.0691
120,80,8028.5191
121,80,6230.5799
122,80,7754.0984
123,80,5995.2113
124,80,7492.263
125,80,5668.8888
126,80,6729.3271
127,80,3613.0362
128,80,4849.28
129,80,3416
130,80,4762
131,80,3161
132,80,4661
133,80,2891
134,80,4501
135,80,2732
136,80,4261
96,81,11996.1492
97,81,9344
98,81,11728
99,81,9192.1244
100,81,11479.629
101,81,8599.782
102,81,11331.3663
103,81,8367.4118
104,81,10945.7077
105,81,8196.5133
106,81,10632.9702
107,81,7963.1287
108,81,10351.0207
109,81,7821.4484
110,81,9988.0331
111,81,7660.616
112,81,9676.2878
113,81,7531.5972
114,81,9289.1123
115,81,7412.6245
116,81,8928.9414
117,81,7245.8493
118,81,8601.9621
119,81,7059.1483
120,81,8204.8694
121,81,6870.9586
122,81,7852.2081
123,81,6656.0787
124,81,7546.0504
125,81,6503.8094
126,81,6852.4608
127,81,3787.0025
128,81,4965.9901
129,81,3673.521
130,81,4902.3215
131,81,3544
132,81,4737
133,81,3391
134,81,4506
135,81,3231
136,81,4282
137,81,3021
97,82,9593.0809
98,82,12063.9949
99,82,9240.8804
100,82,11785.2436
101,82,8826.7695
102,82,11542.8964
103,82,8560.9432
104,82,11211.0039
105,82,8377.3759
106,82,10895.3873
107,82,8104.3129
108,82,10643.9057
109,82,7945.9547
110,82,10331.9204
111,82,7748.727
112,82,10049.9294
113,82,7601.4914
114,82,9681.5131
115,82,7468.4686
116,82,9393.3756
117,82,7235.61
118,82,9090.4412
119,82,7091.4931
120,82,8740.8934
121,82,6917.1926
122,82,8394.6504
123,82,6731.665
124,82,8086.6623
125,82,6737.7802
126,82,7367.8686
127,82,3937.3726
128,82,5185.1735
129,82,3835.901
130,82,5127.2356
131,82,3725.9863
132,82,5050.739
133,82,3546.0546
134,82,4904
135,82,3321
136,82,4702
137,82,3081
138,82,4561
102,83,11562
103,83,8981
104,83,11309.0961
105,83,8882.8431
106,83,10941.1815
107,83,8602.5599
108,83,10714.7638
109,83,8366.5038
110,83,10421.3446
111,83,8209.7745
112,83,10073.8648
113,83,8054.7839
114,83,9749.4812
115,83,7757.9735
116,83,9495.0835
117,83,7644.2753
118,83,9129.7503
119,83,7393.1664
120,83,8845.357
121,83,7192.3517
122,83,8490.9606
123,83,7033.9493
124,83,8097.6719
125,83,6886.9146
126,83,7459.7558
127,83,4604.6341
128,83,5138.5294
129,83,4330.1448
130,83,5185.0459
131,83,4040.4272
132,83,5241.2663
133,83,3826.6022
134,83,5215.3432
135,83,3585.2425
136,83,4968
137,83,3432
138,83,4831
139,83,3322
140,83,4781
141,83,3242
103,84,9349.0408
104,84,11439.5036
105,84,8948.936
106,84,11212.0306
107,84,8577.3408
108,84,11069.0708
109,84,8330.1367
110,84,10750.6329
111,84,8183.3556
112,84,10423.3948
113,84,7995.6651
114,84,10151.518
115,84,7836.8686
116,84,9774.1726
117,84,7650.8008
118,84,9491.7211
119,84,7440.5676
120,84,9101.5448
121,84,7251.671
122,84,8738.588
123,84,7028.3502
124,84,8394.8249
125,84,6968.1256
126,84,7658.3631
127,84,4550.7508
128,84,6008.234
129,84,4355.4284
130,84,5887.7716
131,84,4143.1164
132,84,5747.2116
133,84,3970.2015
134,84,5598.1188
135,84,3746.6091
136,84,5489.2164
137,84,3561.0236
138,84,5358.8072
139,84,3479
140,84,5240
141,84,3402
142,84,5103
143,84,3339
107,85,9009.4896
108,85,11064.383
109,85,8720.4846
110,85,10825.1275
111,85,8514.1938
112,85,10513.398
113,85,8424.8099
114,85,10185.9487
115,85,8235.8344
116,85,9872.8659
117,85,7876.983
118,85,9638.8188
119,85,7783.9625
120,85,9180.5855
121,85,7526.187
122,85,8859.4119
123,85,7313.7374
124,85,8485.19
125,85,7159.6442
126,85,7746.41
127,85,5052.2757
128,85,6022.6908
129,85,4870.948
130,85,5948.75
131,85,4558.0565
132,85,5933.398
133,85,4365.698
134,85,5775.5152
135,85,4091.5908
136,85,5664.3373
137,85,3901.019
138,85,5596.3382
139,85,3788.3082
140,85,5483
141,85,3711
142,85,5301
143,85,3622
144,85,5062
108,86,11389.6146
109,86,8745.6567
110,86,11146.4341
111,86,8536.1188
112,86,10812.0059
113,86,8400.845
114,86,10511.9259
115,86,8178.2764
116,86,10238.4659
117,86,7980.8023
118,86,9857.3888
119,86,7810.9668
120,86,9494.472
121,86,7573.1416
122,86,9091.9656
123,86,7356.9781
124,86,8735.0327
125,86,7221.8838
126,86,7975.2076
127,86,5108.0476
128,86,6695.0333
129,86,4920.644
130,86,6649.0156
131,86,4666.0643
132,86,6512.4708
133,86,4459.3941
134,86,6288.662
135,86,4211.9573
136,86,6170.7153
137,86,4053.5366
138,86,6015.9581
139,86,3982.2733
140,86,5858.2675
141,86,3932.6771
142,86,5713.6863
143,86,3952.3845
144,86,5264
145,86,3691
111,87,8747.5878
112,87,10877.6278
113,87,8709.1281
114,87,10616.3236
115,87,8558.3531
116,87,10296.4435
117,87,8340.4221
118,87,9988.4428
119,87,8008.3607
120,87,9673.4797
121,87,7887.2253
122,87,9188.5344
123,87,7632.682
124,87,8868.1244
125,87,7447.0018
126,87,8109.5193
127,87,5475.4457
128,87,6794.8535
129,87,5418.4334
130,87,6727.6772
131,87,5326.5408
132,87,6513.8192
133,87,5205.9252
134,87,6276.3989
135,87,4970.466
136,87,6067.0918
137,87,4705.033
138,87,5999.3305
139,87,4371.3805
140,87,5909.4124
141,87,4369.542
142,87,5787.2858
143,87,4252.8029
144,87,5477.5117
145,87,4079.0586
146,87,5224.1
114,88,10933.2349
115,88,8544.8873
116,88,10611.5514
117,88,8328.5624
118,88,10309.5579
119,88,8122.9433
120,88,9857.3723
121,88,7941.0114
122,88,9486.7198
123,88,7682.2867
124,88,9101.9506
125,88,7526.9981
126,88,8324.1349
127,88,5632.0637
128,88,7311.8466
129,88,5473.2485
130,88,7315.2974
131,88,5323.0217
132,88,7193.0796
133,88,5379.5324
134,88,6714.9899
135,88,5158.2782
136,88,6478.7305
137,88,4904.107
138,88,6396.7859
139,88,4561.43
140,88,6308.5876
141,88,4449.5495
142,88,6116.9749
143,88,4371.1358
144,88,5790.8509
145,88,4234.2115
146,88,5474.7506
147,88,3872
117,89,8693.2531
118,89,10409.8435
119,89,8456.6919
120,89,9987.2858
121,89,8152.1259
122,89,9691.9119
123,89,7915.2032
124,89,9229.8885
125,89,7779.0758
126,89,8474.0396
127,89,5952.1319
128,89,7518.7333
129,89,5922.7941
130,89,7352.6098
131,89,5897.1161
132,89,7284.0249
133,89,5980.5691
134,89,6868.0606
135,89,5662.2252
136,89,6668.1608
137,89,5399.4221
138,89,6531.0041
139,89,5026.179
140,89,6276.0358
141,89,4922.868
142,89,6146.8512
143,89,4679.748
144,89,5917.7037
145,89,4538.1609
146,89,5555.3525
147,89,4207.4805
148,89,5272
119,90,8364
120,90,10407
121,90,8254.4428
122,90,9836.828
123,90,8062.0967
124,90,9496.494
125,90,7844.8162
126,90,8694.2146
127,90,6164.0749
128,90,7910.3513
129,90,5975.285
130,90,7844.5604
131,90,5820.93
132,90,7808.205
133,90,5888.955
134,90,7461.1394
135,90,5756.7058
136,90,7183.8616
137,90,5464.2083
138,90,7105.1775
139,90,5256.7004
140,90,6794.3235
141,90,5118.0192
142,90,6440.4187
143,90,4786.3856
144,90,6190.0023
145,90,4666.5225
146,90,5833.8692
147,90,4371.4235
148,90,5501
149,90,4096
121,91,8527.021
122,91,10013.6467
123,91,8265.6176
124,91,9726.6755
125,91,8052.0568
126,91,8840.3684
127,91,6476.4981
128,91,8137.6627
129,91,6376.1443
130,91,7974.7783
131,91,6381.8941
132,91,7798.0646
133,91,6546.5814
134,91,7577.0291
135,91,6394.3584
136,91,7274.5471
137,91,5978.0899
138,91,7098.0687
139,91,5794.6232
140,91,6820.5232
141,91,5549.1072
142,91,6528.4564
143,91,5221.8585
144,91,6121.2873
145,91,5026.2638
146,91,5877.6495
147,91,4704.8984
148,91,5628
149,91,4398
150,91,5341
124,92,9894.2007
125,92,8167
126,92,9147
127,92,6670.0197
128,92,8354
129,92,6565
130,92,8318.4802
131,92,6298.8738
132,92,8373.9058
133,92,6442.0074
134,92,8114.5216
135,92,6355.082
136,92,7896.3508
137,92,6080.699
138,92,7666.9211
139,92,5880.3832
140,92,7267.8244
141,92,5761.6522
142,92,6845.4697
143,92,5297.4952
144,92,6545.5184
145,92,5125.7669
146,92,6153.719
147,92,4806.3822
148,92,5928.4888
149,92,4590
150,92,5649
151,92,4211
127,93,7033.2467
128,93,8636
129,93,6707
130,93,8687.3764
131,93,6697.6533
132,93,8485.4677
133,93,6872.5393
134,93,8309.1764
135,93,6825
136,93,8095
137,93,6636.0801
138,93,7684.2471
139,93,6336
140,93,7482
141,93,6065.0433
142,93,6983.0794
143,93,5736.2687
144,93,6577.8124
145,93,5488.32
146,93,6214.9108
147,93,5066.0939
148,93,6072.4315
149,93,4969.5572
150,93,5682
151,93,4637
152,93,5461
128,94,8941
129,94,7010
130,94,8912
131,94,7051
132,94,8742
133,94,6931
134,94,8733
135,94,6784.2032
136,94,8534.072
137,94,6694.9109
138,94,8018.9803
139,94,6380.3971
140,94,7773.1673
141,94,6238.958
142,94,7352.1562
143,94,5881.164
144,94,6999.8321
145,94,5646.2465
146,94,6534.2186
147,94,5241.522
148,94,6309.5572
149,94,5033.633
150,94,6019.8585
151,94,4699.1662
152,94,5854.7185
153,94,4256
129,95,7511
130,95,8941
131,95,7492
132,95,8861
133,95,7402
134,95,8741
135,95,7380
136,95,8533
137,95,7062
138,95,8206
139,95,6895
140,95,7908
141,95,6655
142,95,7542
143,95,6220
144,95,7102.3794
145,95,5951.5686
146,95,6647.0921
147,95,5537.64
148,95,6364.3262
149,95,5367.1883
150,95,6050.0363
151,95,4978
152,95,5912
153,95,4662
154,95,5530
136,96,9008
137,96,7111
138,96,8642.2466
139,96,6780
140,96,8232
141,96,6676.9869
142,96,7873.2662
143,96,6369.5591
144,96,7494.058
145,96,6093.7702
146,96,6969.389
147,96,5693.0815
148,96,6801.4186
149,96,5518.6292
150,96,6458.9303
151,96,5155.1245
152,96,6211.6758
153,96,4713.37
154,96,5832.4263
155,96,4412.9244
156,96,5663
137,97,7447
138,97,8697
139,97,7300
140,97,8403
141,97,7065
142,97,8038
143,97,6657
144,97,7755
145,97,6300
146,97,7134
147,97,6047.122
148,97,6971.3675
149,97,5918.1822
150,97,6548.7086
151,97,5429.7868
152,97,6356.0378
153,97,4965.6453
154,97,5795.3424
155,97,4765
156,97,5677
157,97,4607
140,98,8732
141,98,7147
142,98,8284
143,98,6733
144,98,8011
145,98,6468
146,98,7583
147,98,6164.2629
148,98,7366.2418
149,98,6052.1534
150,98,6942.7595
151,98,5586.5363
152,98,6623.7149
153,98,5106.6728
154,98,6171.6888
155,98,4804.3669
156,98,6031.4844
157,98,4603
158,98,5840
141,99,7476
142,99,8403
143,99,7163
144,99,8126
145,99,6792
146,99,7782
147,99,6567
148,99,7311.7269
149,99,6351
150,99,7196
151,99,6021
152,99,6785
153,99,5288.2548
154,99,6355.4422
155,99,5087.653
156,99,5976.2324
157,99,4976
158,99,5853
159,99,4773
142,100,8892
143,100,7155
144,100,8424
145,100,6843
146,100,8072
147,100,6590
148,100,7846
149,100,6449.9683
150,100,7518.268
151,100,6184.7026
152,100,7213.5157
153,100,5542.3801
154,100,6514.3453
155,100,5173.3741
156,100,6386.9869
157,100,4965.9772
158,100,6235
159,100,4793
160,100,6010
144,101,8344
145,101,7281
146,101,8251
147,101,7059
148,101,7838
149,101,6853.1295
150,101,7503.7096
151,101,6570.9488
152,101,7366
153,101,5792
154,101,6682
155,101,5457
156,101,6535
157,101,5373.4402
158,101,6198
159,101,5086
160,101,6043
161,101,4983
147,102,6973
148,102,8292
149,102,6788
150,102,8049
151,102,6583.9925
152,102,7706.7022
153,102,5982.696
154,102,7060.2061
155,102,5647.2996
156,102,6841
157,102,5469
158,102,6541
159,102,5226
160,102,6425
161,102,5043
162,102,6190
149,103,7364
150,103,8085
151,103,6948.9021
152,103,7769.8997
153,103,6272.0204
154,103,7153
155,103,5955
156,103,7002
157,103,5645
158,103,6791
159,103,5523
160,103,6508
161,103,5366
162,103,6213
163,103,4643
150,104,8512
151,104,6943
152,104,8179
153,104,6426.9219
154,104,7593.3689
155,104,6049
156,104,7290
157,104,5901
158,104,6997
159,104,5707
160,104,6753
161,104,5456
162,104,6625
163,104,4763
164,104,6040
151,105,7368
152,105,8215
153,105,6717.9007
154,105,7587.9997
155,105,6390
156,105,7436
157,105,6126
158,105,7214
159,105,5920
160,105,6951
161,105,5713
162,105,6798
163,105,5026
164,105,5983
165,105,4823
153,106,6848
154,106,8043
155,106,6613.809
156,106,7707.2502
157,106,6245
158,106,7484
159,106,6060
160,106,7248
161,106,5882
162,106,7078
163,106,5179
164,106,6333
165,106,4885
166,106,6168
167,106,4672
154,107,8115
155,107,6898.6091
156,107,7827
157,107,6610
158,107,7634
159,107,6362
160,107,7411
161,107,6130
162,107,7301
163,107,5319
164,107,6442
165,107,5143
166,107,6176
167,107,4993
168,107,6053
169,107,4901
170,107,5921
171,107,4801
156,108,8186
157,108,6734.2386
158,108,7831.8882
159,108,6553
160,108,7761
161,108,6546
162,108,7453
163,108,5492
164,108,6758
165,108,5309
166,108,6433
167,108,4985
168,108,6378
169,108,4882
170,108,6226
171,108,4792
172,108,6152
157,109,7023
158,109,7953
159,109,6711
160,109,7922
161,109,6662
162,109,7681
163,109,5690
164,109,6771
165,109,5604
166,109,6554
167,109,5525
168,109,6376
169,109,5313
170,109,6253
171,109,5147
172,109,6181
173,109,5016
158,110,8303
159,110,6885
160,110,8224.4052
161,110,6800
162,110,7941
163,110,5869
164,110,7159
165,110,5602
166,110,7198
167,110,5519
168,110,6913
169,110,5298
170,110,6775
171,110,5119
172,110,6554
173,110,5032
174,110,6441
162,111,7960
163,111,6344
164,111,7288
165,111,6080
166,111,7051
167,111,5958
168,111,6870
169,111,5907
170,111,6624
171,111,5663
172,111,6433
173,111,5481
174,111,6312
175,111,5291
165,112,6099
166,112,7562
167,112,5892
168,112,7438
169,112,5779
170,112,7193
171,112,5560
172,112,6993
173,112,5400
174,112,6708
175,112,5151
176,112,6511
166,113,7641
167,113,6291
168,113,7501
169,113,6153
170,113,7237
171,113,6044
172,113,6894
173,113,5883
174,113,6573
175,113,5557
176,113,6491
177,113,5306
171,114,5919
172,114,7398
173,114,5748
174,114,7083
175,114,5523
176,114,6806
177,114,5302
173,115,6154
174,115,7054
175,115,5963
176,115,6683
177,115,5651
174,116,7501
175,116,5855
176,116,7182
177,116,5636
175,117,6104
176,117,7264
177,117,6103
176,118,7553
177,118,6023
